id,mode,type,desc
teamkillpunishcount,unknown,unknown,unknown
teamkillpointloss,unknown,unknown,unknown
teamkillpenalty,unknown,unknown,unknown
teamcount,unknown,unknown,unknown
startround,unknown,unknown,unknown
startplayers,unknown,unknown,unknown
spectatetype,unknown,unknown,unknown
specialistteamkillsallowed_allies_1,unknown,unknown,unknown
specialistonlyheadshots_allies_1,unknown,unknown,unknown
specialistmaxhealth_allies_1,unknown,unknown,unknown
specialisthealspeed_allies_1,unknown,unknown,unknown
specialisthealingenabled_allies_1,unknown,unknown,unknown
specialistfriendlyfire_allies_1,unknown,unknown,unknown
specialistequipmentreadyonrespawn_allies_1,unknown,unknown,unknown
specialistequipmentenabled_allies_1,unknown,unknown,unknown
specialistabilityreadyonrespawn_allies_1,unknown,unknown,unknown
specialistabilityenabled_allies_1,unknown,unknown,unknown
spawntraptriggertime,unknown,unknown,unknown
spawnteamkilledpenalty,unknown,unknown,unknown
spawnsuicidepenalty,unknown,unknown,unknown
spawnselectenabled,unknown,unknown,unknown
spawnprotectiontime,unknown,unknown,unknown
silentplant,unknown,unknown,unknown
scoreresetondeath,unknown,unknown,unknown
scorelimit,unknown,unknown,unknown
scoreheropowergainfactor,unknown,unknown,unknown
roundwinlimit,unknown,unknown,unknown
roundswitch,unknown,unknown,unknown
roundstartkillstreakdelay,unknown,unknown,unknown
roundstartexplosivedelay,unknown,unknown,unknown
roundscorelimit,unknown,unknown,unknown
roundlimit,unknown,unknown,unknown
preroundperiod,unknown,unknown,unknown
prematchrequirement,unknown,unknown,unknown
prematchperiod,unknown,unknown,unknown
pregameitemvoteenabled,unknown,unknown,unknown
pregamedraftenabled,unknown,unknown,unknown
playersprinttime,unknown,unknown,unknown
playerrespawndelay,unknown,unknown,unknown
playerqueuedrespawn,unknown,unknown,unknown
playerobjectiveheldrespawndelay,unknown,unknown,unknown
playernumlives,unknown,unknown,unknown
playermaxhealth,unknown,unknown,unknown
playerkillsmax,unknown,unknown,unknown
playerhealthregentime,unknown,unknown,unknown
playerforcerespawn,unknown,unknown,unknown
planttime,unknown,unknown,unknown
perksenabled,unknown,unknown,unknown
onlyheadshots,unknown,unknown,unknown
oldschoolmode,unknown,unknown,unknown
objectivepingtime,unknown,unknown,unknown
multibomb,unknown,unknown,unknown
maxteamplayers,unknown,unknown,unknown
maxsuicidesbeforekick,unknown,unknown,unknown
maxplayofthematchevents,unknown,unknown,unknown
maxallocation,unknown,unknown,unknown
max_wait_time,unknown,unknown,unknown
loadoutkillstreaksenabled,unknown,unknown,unknown
leaderbonus,unknown,unknown,unknown
killstreaksgivegamescore,unknown,unknown,unknown
killeventscoremultiplier,unknown,unknown,unknown
killcamtime,unknown,unknown,unknown
incrementalspawndelay,unknown,unknown,unknown
headshotsonly,unknown,unknown,unknown
hash_fea506177d61a7e,unknown,unknown,unknown
hash_f5ea977f20c026a,unknown,unknown,unknown
hash_f5a1f8a32fee915,unknown,unknown,unknown
hash_f1e30f8dfc57d39,unknown,unknown,unknown
hash_f04393e2e028c01,unknown,unknown,unknown
hash_ecf2124e9108fc4,unknown,unknown,unknown
hash_ec059b9a7f28627,unknown,unknown,unknown
hash_e66ea1c74a48224,unknown,unknown,unknown
hash_daba3be8725aaab,unknown,unknown,unknown
hash_d0928790c76d5cb,unknown,unknown,unknown
hash_bd1199baafe11fe,unknown,unknown,unknown
hash_bbe8adfda44e21c,unknown,unknown,unknown
hash_ad6c0d1cd92c1fe,unknown,unknown,unknown
hash_9fa187740ff5e40,unknown,unknown,unknown
hash_9dc52c75197d173,unknown,unknown,unknown
hash_9589e8a0dbb8631,unknown,unknown,unknown
hash_950a1bae46ea69e,unknown,unknown,unknown
hash_926bf70c5a0d23b,unknown,unknown,unknown
hash_83f11b8abac148f,unknown,unknown,unknown
hash_82c01ef004ff0a3,unknown,unknown,unknown
hash_7fb8c0dadeac34d9,unknown,unknown,unknown
hash_7fac34a754ef395a,unknown,unknown,unknown
hash_7fa8685ec958ecdd,unknown,unknown,unknown
hash_7f16c3fe5a8dcf07,unknown,unknown,unknown
hash_7e60451699436d76,unknown,unknown,unknown
hash_7dd54269f48d6047,unknown,unknown,unknown
hash_7d8c969e384dd1c9,unknown,unknown,unknown
hash_7d3d69a0fd97862d,unknown,unknown,unknown
hash_7d2d9c6d8d1efde4,unknown,unknown,unknown
hash_7c8ad12994670d63,unknown,unknown,unknown
hash_7c6aa297d67f94c1,unknown,unknown,unknown
hash_7c0dcff6ffb1e348,unknown,unknown,unknown
hash_7c0acf14fb1f4080,unknown,unknown,unknown
hash_7b794bb976baacfc,unknown,unknown,unknown
hash_7adb62a64c6d963,unknown,unknown,unknown
hash_7ab596bf4932361d,unknown,unknown,unknown
hash_794b9fb296da09b6,unknown,unknown,unknown
hash_78e459ad87509a46,unknown,unknown,unknown
hash_78bfea2b72e79da3,unknown,unknown,unknown
hash_78ab4c93600cd5c7,unknown,unknown,unknown
hash_77b7734750cd75e9,unknown,unknown,unknown
hash_77af5743dec010ae,wz,unknown,unknown
hash_76fb3219916a09f2,unknown,unknown,unknown
hash_76c2c603f164eb31,unknown,unknown,unknown
hash_76896a980cc6639e,unknown,unknown,unknown
hash_7684a70eb68f1ebb,unknown,unknown,unknown
hash_767052b9f54e554a,unknown,unknown,unknown
hash_76563462cf31f5c,unknown,unknown,unknown
hash_76432fd7e57b1bee,unknown,unknown,unknown
hash_75a36f7e4a81c93,unknown,unknown,unknown
hash_754adea7069d7708,unknown,unknown,unknown
hash_754aaf85b6f920ab,unknown,unknown,unknown
hash_7532afe3ef8b4332,unknown,unknown,unknown
hash_75240ded586d3172,unknown,unknown,unknown
hash_74f828ed58482468,unknown,unknown,unknown
hash_74f1260346e4198e,unknown,unknown,unknown
hash_7477eea36687a960,unknown,unknown,unknown
hash_731aac1992af2669,unknown,unknown,unknown
hash_731988b03dc6ee17,unknown,unknown,unknown
hash_72bb0b1fd35b9351,unknown,unknown,unknown
hash_72baa3480316bf55,unknown,unknown,unknown
hash_71f1a84d7208bd57,unknown,unknown,unknown
hash_71b2b43696e16252,unknown,unknown,unknown
hash_7148b13c0ace2cd7,unknown,unknown,unknown
hash_712f4c2a96bca56e,unknown,unknown,unknown
hash_70517c36d49b4ee0,unknown,unknown,unknown
hash_701bac755292fab2,unknown,unknown,unknown
hash_70072ee20a43ae21,unknown,unknown,unknown
hash_6fd3b6b84cd7c91f,unknown,unknown,unknown
hash_6fbf57e2af153e5f,unknown,unknown,unknown
hash_6fb11b1e304d533c,unknown,unknown,unknown
hash_6f7723e2e1175279,unknown,unknown,unknown
hash_6f272bb00e2d646e,unknown,unknown,unknown
hash_6f135d596eeee7a,unknown,unknown,unknown
hash_6eeaa45e9976304a,unknown,unknown,unknown
hash_6e712c690b82cff9,unknown,unknown,unknown
hash_6e2abf2cc40e03f1,unknown,unknown,unknown
hash_6cf5f53d1fbb1066,unknown,unknown,unknown
hash_6cc7b012775d9662,unknown,unknown,unknown
hash_6ca9876ab1b88d9d,unknown,unknown,unknown
hash_6c65796bd239e3c,unknown,unknown,unknown
hash_6bf344e62e07bffe,unknown,unknown,unknown
hash_6ae29c8144cb7659,unknown,unknown,unknown
hash_6ac86084bc041660,unknown,unknown,unknown
hash_6aba2f652c6f4e07,unknown,unknown,unknown
hash_6a2434c947c86b9b,unknown,unknown,unknown
hash_69ad073972c1c4ea,unknown,unknown,unknown
hash_697d65a68cc6c6f1,unknown,unknown,unknown
hash_695d922e24b41e31,unknown,unknown,unknown
hash_69502334f96452e5,unknown,unknown,unknown
hash_68e3f54e05f57d85,unknown,unknown,unknown
hash_6881c7cab0dcef39,unknown,unknown,unknown
hash_6873fc00b59bcd39,unknown,unknown,unknown
hash_67d54bbc52811921,unknown,unknown,unknown
hash_67b94d37f2e44ee2,unknown,unknown,unknown
hash_66dce2e3aa29ab2e,unknown,unknown,unknown
hash_661ee23f114191c1,unknown,unknown,unknown
hash_660271b8cdaeb9a6,unknown,unknown,unknown
hash_64b6849360a2bc86,unknown,unknown,unknown
hash_64aba694bd70856c,unknown,unknown,unknown
hash_648fb3af9bc11566,unknown,unknown,unknown
hash_647310a2fe3554f7,unknown,unknown,unknown
hash_6441f0d43571288,unknown,unknown,unknown
hash_63f8d60d122e755b,unknown,unknown,unknown
hash_63afbb959aff54fa,unknown,unknown,unknown
hash_62a4fd40810cb61,unknown,unknown,unknown
hash_6269eb986d22cd37,unknown,unknown,unknown
hash_624b317222a0532b,unknown,unknown,unknown
hash_622b18585020f430,unknown,unknown,unknown
hash_62181bb12898aef6,unknown,unknown,unknown
hash_6062f089b8e2a9b6,unknown,unknown,unknown
hash_6061d8cc58f521fb,unknown,unknown,unknown
hash_5faa7b70e6eb1e2d,unknown,unknown,unknown
hash_5f99f52d9081044e,unknown,unknown,unknown
hash_5f842714fa80e5a9,unknown,unknown,unknown
hash_5f76e2d55ad861ed,unknown,unknown,unknown
hash_5f44f580c6226773,unknown,unknown,unknown
hash_5f3e0480c61c6242,unknown,unknown,unknown
hash_5ee2b0f4d3fcc73d,unknown,unknown,unknown
hash_5e9a89fe817a3fac,unknown,unknown,unknown
hash_5da4b0807ccc818f,unknown,unknown,unknown
hash_5d93a4005fc11d4f,unknown,unknown,unknown
hash_5d5f4ee35c9977c7,unknown,unknown,unknown
hash_5cc4c3042b7d4935,unknown,unknown,unknown
hash_5c918cbf75e16116,unknown,unknown,unknown
hash_5c6371ef701d7485,unknown,unknown,unknown
hash_5ba752e23e79af9d,unknown,unknown,unknown
hash_5b8edad0ddd32514,unknown,unknown,unknown
hash_5b7b817a91ce3534,unknown,unknown,unknown
hash_5b664424fc3e930,unknown,unknown,unknown
hash_5a147405a1dfd976,unknown,unknown,unknown
hash_59fbb75e58a43cc6,unknown,unknown,unknown
hash_59ab05f71c3789c7,unknown,unknown,unknown
hash_58a3b9a2190fbbc6,unknown,unknown,unknown
hash_58981ece00ffa6bc,unknown,unknown,unknown
hash_580dd188be1df5b0,unknown,unknown,unknown
hash_57743f417c14e3f9,unknown,unknown,unknown
hash_56ab3c042b783de6,unknown,unknown,unknown
hash_567db38226658dbf,unknown,unknown,unknown
hash_567a288b2ca685f3,unknown,unknown,unknown
hash_565cb574e1da9e2a,unknown,unknown,unknown
hash_557cb4680634f585,unknown,unknown,unknown
hash_5571ecd1d1424351,unknown,unknown,unknown
hash_54fe37a58b87c7a0,unknown,unknown,unknown
hash_54dfa988db5db24c,unknown,unknown,unknown
hash_54b31c3bfb70da4c,unknown,unknown,unknown
hash_542ec48cf30b74c0,unknown,unknown,unknown
hash_5414fca2f68467d,unknown,unknown,unknown
hash_5408e974098bc234,unknown,unknown,unknown
hash_53b5887dea69a320,unknown,unknown,unknown
hash_53464d3535fadbe3,unknown,unknown,unknown
hash_530fdf750e69c0d6,unknown,unknown,unknown
hash_522bb6c75afd7380,unknown,unknown,unknown
hash_51fb2c5cf353734c,unknown,unknown,unknown
hash_51e989796c38cd87,unknown,unknown,unknown
hash_51a2cf319e12d9ae,unknown,unknown,unknown
hash_512aec4c9e79844f,unknown,unknown,unknown
hash_50c10372c80d0a6b,unknown,unknown,unknown
hash_50352319697250b,unknown,unknown,unknown
hash_50105b0ebfabeb63,unknown,unknown,unknown
hash_4f4a73f236278ba8,unknown,unknown,unknown
hash_4e4352bd1aaeedfe,unknown,unknown,unknown
hash_4da10871d345f646,unknown,unknown,unknown
hash_4d6cfd0b3ee4cc7d,unknown,unknown,unknown
hash_4d44aa80bbbf23d9,unknown,unknown,unknown
hash_4d3b84d98e3a83d4,unknown,unknown,unknown
hash_4cb15aed177a8ef5,unknown,unknown,unknown
hash_4ca06c610b5d53bd,unknown,unknown,unknown
hash_4c7c8c4bd1b2a58b,unknown,unknown,unknown
hash_4c2d5ba737e6acdf,unknown,unknown,unknown
hash_4bf99a809542e4ea,unknown,unknown,unknown
hash_4bdd1bd86b610871,unknown,unknown,unknown
hash_4b3e4a8072125ce2,unknown,unknown,unknown
hash_4a6ef8940f4cbb83,unknown,unknown,unknown
hash_4a035e3775089f40,unknown,unknown,unknown
hash_49ef6375e8d3832c,unknown,unknown,unknown
hash_49e5e9c2e7812462,unknown,unknown,unknown
hash_49746a22bfe5fb83,unknown,unknown,unknown
hash_48bfd40836d0ef18,unknown,unknown,unknown
hash_48670d9509071424,unknown,unknown,unknown
hash_473fee16f796c84e,unknown,unknown,unknown
hash_46f957248efbd39a,unknown,unknown,unknown
hash_46abc67b302b3b9a,unknown,unknown,unknown
hash_464afa49c60793b7,unknown,unknown,unknown
hash_459bf1e2c40244a0,unknown,unknown,unknown
hash_458acfe2c3f397a7,unknown,unknown,unknown
hash_451245a24412d90f,unknown,unknown,unknown
hash_450463e38ea8bf1,unknown,unknown,unknown
hash_44c7473eab6e5459,unknown,unknown,unknown
hash_446a66a4499c4e5d,unknown,unknown,unknown
hash_446939a6459aedf3,unknown,unknown,unknown
hash_44533f4f290c5e77,unknown,unknown,unknown
hash_437b759bd6885560,unknown,unknown,unknown
hash_42471cb0cbc19544,unknown,unknown,unknown
hash_41d75cbe78f7837c,unknown,unknown,unknown
hash_418adedc5cf0a538,unknown,unknown,unknown
hash_4149d5d65eb07138,unknown,unknown,unknown
hash_410c5c7c1e60b534,unknown,unknown,unknown
hash_40f115f7ed3324f9,unknown,unknown,unknown
hash_3ff237bde39c8efd,unknown,unknown,unknown
hash_3f91bba5e05b0f34,unknown,unknown,unknown
hash_3f8f02e8109b6e93,unknown,unknown,unknown
hash_3f7e825f67393df5,unknown,unknown,unknown
hash_3ef0b277331a6967,unknown,unknown,unknown
hash_3eb2b790db0345da,unknown,unknown,unknown
hash_3e8ed24e99b27614,unknown,unknown,unknown
hash_3e882b80b421ca7d,unknown,unknown,unknown
hash_3e62d9528eca0a13,unknown,unknown,unknown
hash_3e59b47ddcff2734,unknown,unknown,unknown
hash_3e2d2cf6b1cc6c68,unknown,unknown,unknown
hash_3e13b420d6773b4c,unknown,unknown,unknown
hash_3e111be61438fd22,unknown,unknown,unknown
hash_3da025c068c34bcb,unknown,unknown,unknown
hash_3d9a364d54750dca,unknown,unknown,unknown
hash_3cb1f3806a9e6b40,unknown,unknown,unknown
hash_3c96c4ddb442526d,unknown,unknown,unknown
hash_3c8207806a75697a,unknown,unknown,unknown
hash_3c652ce65176098e,unknown,unknown,unknown
hash_3a92adec8c38ead3,unknown,unknown,unknown
hash_3a73deb0ca8c9aea,unknown,unknown,unknown
hash_3a728eb1941f6601,unknown,unknown,unknown
hash_39d72f93c54f240e,unknown,unknown,unknown
hash_3778ec3bd924f17c,unknown,unknown,unknown
hash_36d000592fe3c302,unknown,unknown,unknown
hash_36c4caf5bc327807,unknown,unknown,unknown
hash_36c2eeb3865325f2,unknown,unknown,unknown
hash_368f9b5b4992b8da,unknown,unknown,unknown
hash_3668350e780332a3,unknown,unknown,unknown
hash_3624e1f373e400cf,unknown,unknown,unknown
hash_3624143624604b4c,unknown,unknown,unknown
hash_35e9fc8eee6881e0,unknown,unknown,unknown
hash_358fb7a0761fc54d,unknown,unknown,unknown
hash_3507f93c9c154f91,unknown,unknown,unknown
hash_34f53d28a9bbfae9,unknown,unknown,unknown
hash_3438dd4245dd0515,unknown,unknown,unknown
hash_34284880adc550c3,unknown,unknown,unknown
hash_33f54380ad99eeab,unknown,unknown,unknown
hash_33d1ac5e99fb0584,unknown,unknown,unknown
hash_33c34a7d3c678e37,unknown,unknown,unknown
hash_33bc6781006ae83d,unknown,unknown,unknown
hash_33b7c0db94a8da,unknown,unknown,unknown
hash_3333e676caab3cff,unknown,unknown,unknown
hash_330eef3a75c26bb4,unknown,unknown,unknown
hash_32da91b78e54e7b5,unknown,unknown,unknown
hash_31a92a9f4a213a7c,unknown,unknown,unknown
hash_3109a8794543000f,unknown,unknown,unknown
hash_30ca3c2a4473f979,unknown,unknown,unknown
hash_30b11d064f146fcc,unknown,unknown,unknown
hash_3083d02ea0f5761c,unknown,unknown,unknown
hash_30057feeefa8bd68,unknown,unknown,unknown
hash_2fd89902533bd300,unknown,unknown,unknown
hash_2fa72a7ec2d86741,unknown,unknown,unknown
hash_2f54612ef16bb07b,unknown,unknown,unknown
hash_2f4adaa9de981357,unknown,unknown,unknown
hash_2f487cfcc854c2e3,unknown,unknown,unknown
hash_2f455474efdce33f,unknown,unknown,unknown
hash_2f350927e92f2156,unknown,unknown,unknown
hash_2f1217d530d06c4c,unknown,unknown,unknown
hash_2e25d475b271a700,unknown,unknown,unknown
hash_2d4ff63e866cdd74,unknown,unknown,unknown
hash_2ce00db5cd5003ff,unknown,unknown,unknown
hash_2cce084109c75fb8,unknown,unknown,unknown
hash_2ca3c9c6942bd9a6,unknown,boolean,unknown
hash_2c6d9b9532d042fe,unknown,unknown,unknown
hash_2bf10704e2a0ad4d,unknown,unknown,unknown
hash_2b88c6ac064e9c59,unknown,unknown,unknown
hash_2b3e56efad3a1504,unknown,unknown,unknown
hash_2b2c167cf8889749,unknown,unknown,unknown
hash_2a43a965bf36a10d,unknown,unknown,unknown
hash_29ef96a3b8f635fd,unknown,unknown,unknown
hash_29e7b59313a2f532,unknown,unknown,unknown
hash_29d174e7d8ab76c8,unknown,unknown,unknown
hash_29a8b0865154e079,unknown,unknown,unknown
hash_2951c2ca77068ac9,unknown,unknown,unknown
hash_28a3a35c24fe616,unknown,unknown,unknown
hash_284d72b0796fe6d3,unknown,unknown,unknown
hash_28233b1037888945,unknown,unknown,unknown
hash_280809419b2cabc0,unknown,unknown,unknown
hash_270fc90c123830a3,unknown,unknown,unknown
hash_270660990ceab264,unknown,unknown,unknown
hash_26f00de198472b81,unknown,unknown,unknown
hash_26e0ba5b365a4566,unknown,unknown,unknown
hash_26c2d144e8174846,unknown,unknown,unknown
hash_26c067f1dd032ebc,unknown,unknown,unknown
hash_264b3275c189b600,unknown,unknown,unknown
hash_25c035e6c2647b25,unknown,unknown,unknown
hash_2560dae45cc112e3,unknown,unknown,unknown
hash_24e281e778894ac9,unknown,unknown,unknown
hash_24a3def3bbc35dfa,unknown,unknown,unknown
hash_24918193d72a5866,unknown,unknown,unknown
hash_24263e1413f95dff,unknown,unknown,unknown
hash_23e09b48546a7e3b,unknown,unknown,unknown
hash_236b15ded103132a,unknown,unknown,unknown
hash_234ae2f2ff58263f,unknown,unknown,unknown
hash_232750b87390cbff,unknown,unknown,unknown
hash_230f75891223e1f5,unknown,unknown,unknown
hash_230e67d5ddfb2c06,unknown,unknown,unknown
hash_2301a180a41b1495,unknown,unknown,unknown
hash_2260f0046cdcaabf,unknown,unknown,unknown
hash_22431a9369b5d7c0,unknown,unknown,unknown
hash_221008a2c793dfa1,unknown,unknown,unknown
hash_2209ae80a348895d,unknown,unknown,unknown
hash_21e0d28e8692d5a,wz,int,unknown
hash_21ab1ca7e18bddcd,wz,boolean,unknown
hash_21865506375b245a,unknown,boolean,unknown
hash_21617b6e09ed2361,unknown,unknown,unknown
hash_213efc0cbd414268,unknown,unknown,unknown
hash_211486dd31982753,unknown,unknown,unknown
hash_20787bdeafae5592,unknown,unknown,unknown
hash_1fdc18ec4c85b70d,unknown,unknown,unknown
hash_1fb467bbf02b5835,unknown,unknown,unknown
hash_1f66d712319e8a92,unknown,unknown,unknown
hash_1f3825ba2a669400,unknown,unknown,unknown
hash_1df445b9d1af641f,unknown,unknown,unknown
hash_1d45d6254eafda02,unknown,unknown,unknown
hash_1d1418091b83b2f,unknown,unknown,unknown
hash_1d02e28ba907a343,unknown,unknown,unknown
hash_1c94fa23e276efe9,unknown,unknown,unknown
hash_1c60fd943cbf2207,unknown,unknown,unknown
hash_1c49677d802ba06a,unknown,unknown,unknown
hash_1c3b95e54e6f178c,unknown,unknown,unknown
hash_1bcb7e5d76212b76,unknown,unknown,unknown
hash_1b859efecd7c5ada,unknown,unknown,unknown
hash_1b4a66a008f60927,unknown,unknown,unknown
hash_1b34b26470f4368,unknown,unknown,unknown
hash_1b28296927171330,unknown,unknown,unknown
hash_19400c3e10b77e6b,unknown,unknown,unknown
hash_18cc28436f74f40,unknown,unknown,unknown
hash_18a48cc68a5ea51b,unknown,unknown,unknown
hash_189c8ca60451e9e9,unknown,unknown,unknown
hash_17f17e92c2654659,unknown,unknown,unknown
hash_1771050d3e1a9622,unknown,unknown,unknown
hash_176ffa7e5bcc3e9b,unknown,unknown,unknown
hash_16f10373ec8e6906,unknown,unknown,unknown
hash_1614b9cbe0df6f75,unknown,unknown,unknown
hash_1607aac841a2f1a2,unknown,unknown,unknown
hash_154db5a1b2e9d757,unknown,unknown,unknown
hash_146e1b05312c9ab5,unknown,unknown,unknown
hash_14019eb043d9e43b,unknown,unknown,unknown
hash_13eba17dc37792f7,unknown,unknown,unknown
hash_13337313b93577d,unknown,unknown,unknown
hash_12305baed865fd67,unknown,unknown,unknown
hash_11e1a0adebdab01a,unknown,unknown,unknown
hash_11b79ec2ffb886c8,unknown,unknown,unknown
hash_11a3265d74f0d51,unknown,unknown,unknown
hash_112e2ccb6a33c090,unknown,unknown,unknown
hash_104f124f56f0f20a,unknown,unknown,unknown
gunselection,unknown,unknown,unknown
gameadvertisementruletimeleft,unknown,unknown,unknown
gameadvertisementrulescorepercent,unknown,unknown,unknown
gameadvertisementruleroundswon,unknown,unknown,unknown
gameadvertisementruleround,unknown,unknown,unknown
friendlyfiretype,unknown,unknown,unknown
forwardspawnteamspecificspawns,unknown,unknown,unknown
forceradar,unknown,unknown,unknown
droppedtagrespawn,unknown,unknown,unknown
drafttime,unknown,unknown,unknown
draftrequiredclients,unknown,unknown,unknown
drafteveryround,unknown,unknown,unknown
draftenabled,unknown,unknown,unknown
disableweapondrop,unknown,unknown,unknown
disabletacinsert,unknown,unknown,unknown
disablecontracts,unknown,unknown,unknown
disableclassselection,unknown,unknown,unknown
disablecac,unknown,unknown,unknown
disableattachments,unknown,unknown,unknown
defusetime,unknown,unknown,unknown
deathpointloss,unknown,unknown,unknown
deathcircle,unknown,unknown,unknown
cumulativeroundscores,unknown,unknown,unknown
cratecapturetime,unknown,unknown,unknown
competitiveteamlives,unknown,unknown,unknown
competitivesettings,unknown,unknown,unknown
cleandepositrotation,unknown,unknown,unknown
cleandepositonlinetime,unknown,unknown,unknown
carrier_manualdrop,unknown,unknown,unknown
bulletdamagescalar,unknown,unknown,unknown
bountybagomoneymoney,unknown,unknown,unknown
bombtimer,unknown,unknown,unknown
boastenabled,unknown,unknown,unknown
boastallowcam,unknown,unknown,unknown
antiboostdistance,unknown,unknown,unknown
allowplayofthematch,unknown,unknown,unknown
allowkillcam,unknown,unknown,unknown
allowingameteamchange,unknown,unknown,unknown
allowhitmarkers,unknown,unknown,unknown
allowfinalkillcam,unknown,unknown,unknown
allowbattlechatter,unknown,unknown,unknown
