id,mode,type,desc
hash_6f1440098d849316,zm,boolean,allow to buy pistol
hash_edfb07f798aaab5,zm,boolean,allow to buy cqb
hash_1f6665b5581f6b6e,zm,boolean,allow to buy smg
hash_1d5c8e6f0e20201a,zm,boolean,allow to buy assault
zmweaponstr,zm,boolean,allow to buy tactical
hash_2f6740b518dbeb8f,zm,boolean,allow to buy lmg
hash_5bfd047c58816496,zm,boolean,allow to buy sniper
zmweaponsknife,zm,boolean,allow to buy knife
zmdifficulty,zm,int[0-3],difficulty 0 = easy; 1 = normal; 2 = hard; 3 = insane
zmtrialsvariant,zm,int,variant of a trials; 0 = default; 1 = hard?
wzzombies,wz,boolean,spawn zombies
wzspectrerising,wz,boolean,wz spectre rising operation
wzhardcore,wz,boolean,wz hardcore
hash_4ff7ee3c3a534065,wz,boolean,wz pandemic
infectionmode,core,boolean,is infection mode
hardcoremode,core,boolean,hardcore mode
hash_50b1121aee76a7e4,wz,boolean,allow to unlock character
hash_d084b5063bb0c55,wz,boolean,allow to unlock ajax
hash_4c66b817adba935c,wz,boolean,allow to unlock crash
hash_2cd26947d8f311fa,wz,boolean,allow to unlock battery
hash_75370c9c920502fc,wz,boolean,allow to unlock firebreak
hash_26843909f5fdef20,wz,boolean,allow to unlock nomad
hash_52d705a46da9e55f,wz,boolean,allow to unlock outrider
hash_7cf82cc41c0f0d5,wz,boolean,allow to unlock prophet
hash_6b1ec01fa78af670,wz,boolean,allow to unlock reaper
hash_34ea44c91776e52c,wz,boolean,allow to unlock recon
hash_4f0a6d1e98cdbf81,wz,boolean,allow to unlock ruin
hash_183bcc0f6737224a,wz,boolean,allow to unlock seraph
hash_6fe34e77ba14d86f,wz,boolean,allow to unlock spectre
hash_3d719d86f2f3f14d,wz,boolean,allow to unlock torque
hash_19c58d35b2ea8d15,wz,boolean,allow to unlock zero
hash_2dfb36064be05f03,wz,boolean,allow to unlock bruno
hash_4547b7ecb49469f0,wz,boolean,allow to unlock bruno (ix)
hash_7fc2867a4b8594bf,wz,boolean,allow to unlock diego
hash_ff653cbb1438270,wz,boolean,allow to unlock diego (ix)
hash_7049c01d7ddf9b35,wz,boolean,allow to unlock scarlett
hash_2b0f9caa00363ee8,wz,boolean,allow to unlock scarlett (ix)
hash_20f3ff8fbb8d8295,wz,boolean,allow to unlock mason
hash_1d50c09e8021ab1,wz,boolean,allow to unlock menendez
hash_47242abeaa29479b,wz,boolean,allow to unlock reznov
hash_265bdda9362c5a35,wz,boolean,allow to unlock woods
hash_2574d482086ec9d8,wz,boolean,allow to unlock nikolai
hash_1d4c395693ce04fe,wz,boolean,allow to unlock dempsey
hash_19667f3338ed6b1f,wz,boolean,allow to unlock richtofen
hash_26186b4e5dc9bb6f,wz,boolean,allow to unlock takeo
hash_5ea56d63c68b4396,wz,boolean,allow to unlock shaw
hash_1ec2d38a40e97c55,wz,boolean,allow to unlock shaw (ix)
waverespawndelay,core,int,respawn delay in seconds
hash_271f60ded9c53d99,wz,int,xp per kill
hash_788f9d764901a139,wz,int,xp per win
hash_678c85f6f120d34b,wz,int,xp per top 5
hash_14a8959bbad2b045,wz,int,xp per top 10
hash_14a8909bbad2a7c6,wz,int,xp per top 15
hash_14ac1b9bbad5c9ce,wz,int,xp per top 20
hash_14ac209bbad5d24d,wz,int,xp per top 25
hash_14af219bbad809d7,wz,int,xp per top 30
hash_149b1d9bbac75a01,wz,int,xp per top 50
hash_149e239bbac99a0a,wz,int,xp per top 60
hash_14a18c9bbacc824c,wz,int,xp per top 75
hash_64e698c86ac94f34,wz,int,xp per remaining lives (respawn modes)
hash_6beb27cc6f581f2d,wz,int,xp per kill while infected (pandemic)
hash_5596ee09efc44216,wz,int,xp per kill of non infected player (pandemic)
hash_6551049476c7127c,wz,int,xp per kill of infected player (pandemic)
hash_709b7e506f5d3775,wz,int,xp per infected win (pandemic)
hash_35c2d850e39fa704,wz,int,max player count
magic,zm,boolean,enable magic
hash_7695bdd7b20cdda,wz,boolean,allow to convert the replacer's muscle car

voipkillershearvictim,unknown,unknown,unknown
voipeveryonehearseveryone,unknown,unknown,unknown
voipdeadhearteamliving,unknown,unknown,unknown
voipdeadhearkiller,unknown,unknown,unknown
voipdeadhearallliving,unknown,unknown,unknown
voipdeadchatwithteam,unknown,unknown,unknown
voipdeadchatwithdead,unknown,unknown,unknown
vehiclestimed,unknown,unknown,unknown
vehiclesenabled,unknown,unknown,unknown
usespawngroups,unknown,unknown,unknown
useitemspawns,unknown,unknown,unknown
use_doors,unknown,unknown,unknown
totalkillsmax,unknown,unknown,unknown
timelimit,unknown,unknown,unknown
ticketslostontimeinterval,unknown,unknown,unknown
ticketslostontimeamount,unknown,unknown,unknown
ticketslostondeath,unknown,unknown,unknown
teamscoreperkill,unknown,unknown,unknown
teamscoreperheadshot,unknown,unknown,unknown
teamscoreperdeath,unknown,unknown,unknown
teamscorepercleandeposit,unknown,unknown,unknown
teamnumlives,unknown,unknown,unknown
teamkillspawndelay,unknown,unknown,unknown
teamkillscore,unknown,unknown,unknown
teamkillreducedpenalty,unknown,unknown,unknown
